Sr. No.,City,No. of seats,Category,State,Winning Candidate,Political Party,Electors,Voters,Turnout,Margin,Margin percentage
1,Adilabad,1,ST,Telangana,Godam Nagesh,Bharatiya Janta Party,"16,50,175","12,35,597",74.90%,"90,652",7.30%
2,Agra,18,SC,Uttar Pradesh [2000 Onwards],Prof S P Singh Baghel,Bharatiya Janta Party,"20,72,685","11,23,779",54.20%,"2,71,294",24.10%
3,Ahmadnagar,37,GEN,Maharashtra,Nilesh Dnyandev Lanke,Nationalist Congress Party – Sharadchandra Pawar,"19,81,866","13,25,477",66.90%,"28,929",2.20%
4,Ahmedabad East,7,GEN,Gujarat,Hasmukhbhai Patel (H.S.PATEL),Bharatiya Janta Party,"20,38,162","11,28,339",55.40%,"4,61,755",40.90%
5,Ahmedabad West,8,SC,Gujarat,Dineshbhai Makwana (ADVOCATE),Bharatiya Janta Party,"17,26,987","9,66,646",56.00%,"2,86,437",29.60%
6,Ajmer,13,GEN,Rajasthan,Bhagirath Choudhary,Bharatiya Janta Party,"19,95,699","12,01,179",60.20%,"3,29,991",27.50%
7,Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh Alias Bhole Singh,Bharatiya Janta Party,"18,69,167","10,86,953",58.20%,"44,345",4.10%
8,Akola,6,GEN,Maharashtra,Anup Sanjay Dhotre,Bharatiya Janta Party,"18,90,814","11,73,072",62.00%,"40,626",3.50%
9,Alappuzha,15,GEN,Kerala,K. C Venugopal,Indian National Congress,"14,00,082","10,58,703",75.60%,"63,513",6.00%
10,Alathur,9,SC,Kerala,K.Radhakrishnan,Communist Party Of India (Marxist),"13,37,496","9,92,268",74.20%,"20,111",2.00%
11,Aligarh,15,GEN,Uttar Pradesh [2000 Onwards],Satish Kumar Gautam,Bharatiya Janta Party,"19,97,234","11,33,366",56.70%,"15,647",1.40%
12,Alipurduars,2,ST,West Bengal,Manoj Tigga,Bharatiya Janta Party,"17,73,252","14,21,389",80.20%,"75,447",5.30%
13,Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Ujjwal Raman Singh,Indian National Congress,"18,25,730","9,47,000",51.90%,"58,795",6.20%
14,Almora,3,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,"13,39,327","6,68,497",49.90%,"2,34,097",35.00%
15,Alwar,8,GEN,Rajasthan,Bhupender Yadav,Bharatiya Janta Party,"20,59,888","12,53,438",60.90%,"48,282",3.90%
16,Amalapuram,7,SC,Andhra Pradesh [2014 Onwards],G M Harish (BALAYOGI),Telugu Desam,"15,31,410","13,01,106",85.00%,"3,42,196",26.30%
17,Ambala,1,SC,Haryana,Varun Chaudhry,Indian National Congress,"19,96,708","13,46,722",67.50%,"49,036",3.60%
18,Ambedkar Nagar,55,GEN,Uttar Pradesh [2000 Onwards],Lalji Verma,Samajwadi Party,"19,11,297","11,77,062",61.60%,"1,37,247",11.70%
19,Amethi,37,GEN,Uttar Pradesh [2000 Onwards],Kishori Lal,Indian National Congress,"17,96,098","9,80,671",54.60%,"1,67,196",17.00%
20,Amravati,7,SC,Maharashtra,Balwant Baswant Wankhade,Indian National Congress,"18,36,078","11,73,579",63.90%,"19,731",1.70%
21,Amreli,14,GEN,Gujarat,Bharatbhai Manubhai Sutariya,Bharatiya Janta Party,"17,32,810","8,76,426",50.60%,"3,21,068",36.60%
22,Amritsar,2,GEN,Punjab,Gurjeet Singh Aujla,Indian National Congress,"16,11,263","9,05,656",56.20%,"40,301",4.40%
23,Amroha,9,GEN,Uttar Pradesh [2000 Onwards],Kanwar Singh Tanwar,Bharatiya Janta Party,"17,16,641","11,10,690",64.70%,"28,670",2.60%
24,Anakapalli,5,,Andhra Pradesh [2014 Onwards],C.M.Ramesh,Bharatiya Janta Party,"15,96,916","13,25,332",83.00%,"2,96,530",22.40%
25,Anand,16,GEN,Gujarat,Mitesh Patel (BAKABHAI),Bharatiya Janta Party,"17,80,182","11,67,969",65.60%,"89,939",7.70%
26,Anandpur Sahib,6,GEN,Punjab,Malvinder Singh Kang,Aam Aadmi Party,"17,32,211","10,77,123",62.20%,"10,846",1.00%
27,Anantapur,19,,Andhra Pradesh [2014 Onwards],Ambica G Lakshminarayana Valmiki,Telugu Desam,"17,67,591","14,40,428",81.50%,"1,88,555",13.10%
28,Anantnag,3,,Jammu & Kashmir,Mian Altaf Ahmad,Jammu & Kashmir National Conference,"18,36,576","10,26,148",55.90%,"2,81,794",27.50%
29,Andaman And Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janta Party,"3,15,148","2,02,514",64.30%,"24,396",12.00%
30,Aonla,24,GEN,Uttar Pradesh [2000 Onwards],Neeraj Maurya,Samajwadi Party,"18,91,713","10,88,896",57.60%,"15,969",1.50%
